"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"356","FE",4,"M","N"
"357","XB",4,"M","N"
"358","FI",5,"M","O"
"359","XB",5,"M","O"
"360","PF",2,"M","N"
"361","XA",1,"L","N"
"362","XA",1,"L","N"
"363","CB",1,"L","N"
"365","XA",2,"L","N"
"366","XA",2,"L","N"
"367","XA",1,"L","N"
"368","IB",6,"M","N"
"369","IB",2,"M","N"
"370","CB",2,"L","O"
"371","IB",5,"M","N"
"372","DP",3,"L","N"
"373","DP",3,"L","O"
"374","FN",3,"M","N"
"375","XB",5,"M","O"
"376","CB",2,"L","O"
"377","DP",3,"L","O"
"378","01",3,"L","N"
"379","XA",1,"L","N"
"380","XA",3,"L","O"
"381","XA",2,"L","N"
"382","XA",3,"L","O"
"383","XA",2,"L","N"
"384","XB",5,"M","O"
"385","XB",5,"M","O"
"386","XB",5,"M","N"
"387","XA",1,"L","N"
"388","XA",1,"L","N"
"389","PF",4,"M","N"
"390","05",3,"L","N"
"391","01",0,"L","N"
"392","FI",3,"M","N"
"393","PF",4,"M","N"
"394","FH",4,"M","N"
"395","CY",1,"L","N"
"396","XA",1,"L","N"
"397","CY",1,"L","N"
"398","XB",5,"M","O"
"399","JD",6,"M","N"
"400","01",3,"L","O"
"401","DP",3,"L","O"
"402","XB",5,"M","O"
"403","01",6,"M","N"
"404","JD",6,"M","N"
"405","XA",1,"L","N"
"406","XB",5,"M","O"
"407","CB",1,"L","N"
"408","DP",3,"L","O"
"409","CB",2,"L","O"
"410","01",3,"L","O"
"411","XA",1,"L","N"
"412","XA",2,"L","N"
"413","XB",4,"M","N"
"414","CB",2,"L","O"
"415","CB",1,"L","N"
"416","XB",4,"M","N"
"417","CY",1,"L","N"
"418","XA",2,"L","N"
"419","XA",1,"L","N"
"420","XB",4,"M","N"
"421","CY",1,"L","N"
"422","XA",1,"L","N"
"423","CB",2,"L","O"
"424","IB",2,"M","N"
"425","DP",3,"L","O"
"426","XA",1,"L","N"
"428","CB",1,"L","N"
"429","DP",3,"L","N"
"430","CY",1,"L","N"
"431","XA",2,"L","N"
"432","XA",1,"L","N"
"433","XA",3,"L","N"
"434","FI",2,"M","N"
"435","01",2,"L","N"
"436","CY",1,"L","N"
"437","XA",1,"L","N"
"438","CY",1,"L","N"
"440","01",4,"M","O"
"441","DP",3,"L","N"
"442","XA",1,"L","N"
"443","XA",1,"L","N"
"444","CB",1,"L","N"
"445","DP",3,"L","O"
"446","XA",3,"L","N"
"447","CB",1,"L","N"
"448","XA",1,"L","N"
"449","CB",2,"L","O"
"450","CB",2,"L","O"
"451","XB",4,"M","N"
"453","01",3,"L","O"
"454","XA",2,"L","N"
"455","XB",5,"M","O"
"456","JC",6,"M","N"
"457","CB",1,"L","N"
"458","CB",2,"L","O"
"459","XA",1,"L","N"
"460","CB",1,"L","N"
"461","XA",1,"L","N"
"462","XA",2,"L","N"
"463","PF",5,"M","O"
"464","XA",1,"L","N"
"465","XA",1,"L","N"
"466","CB",1,"L","N"
"467","XB",5,"M","O"
"468","PF",3,"M","N"
"469","XA",1,"L","N"
"470","XA",2,"L","N"
"471","XA",3,"L","N"
"472","XA",2,"L","N"
"473","XB",5,"M","O"
"475","01",2,"L","O"
"476","CB",2,"L","O"
"477","XB",4,"M","N"
"478","CB",1,"L","N"
"479","XA",1,"L","N"
"480","XB",5,"M","O"
"481","01",2,"L","O"
"482","XB",4,"M","N"
"483","CY",1,"L","N"
"484","DP",3,"L","O"
"485","XB",5,"M","N"
"486","XA",1,"L","N"
"487","IB",6,"M","N"
"488","PF",5,"M","O"
"489","XA",1,"L","N"
"490","XA",1,"L","N"
"492","XA",2,"L","N"
"493","XA",1,"L","N"
"494","DP",3,"L","N"
"495","CB",2,"L","O"
"496","XA",2,"L","N"
"497","FH",5,"M","N"
"498","01",3,"L","O"
"499","FH",4,"M","N"
"500","JD",6,"M","N"
"501","XA",1,"L","N"
"502","XB",5,"M","O"
"503","DP",3,"L","O"
"505","IB",3,"M","N"
"506","XA",3,"L","N"
"507","XA",1,"L","N"
"508","CB",1,"L","N"
"509","XB",4,"M","N"
"512","CB",1,"L","N"
"513","XA",2,"L","N"
"514","XA",1,"L","N"
"515","XA",1,"L","N"
"516","XA",2,"L","N"
"517","CB",2,"L","O"
"518","XB",4,"M","N"
"519","IB",3,"M","N"
"520","CB",2,"L","O"
"521","PF",4,"M","N"
"522","IB",2,"M","N"
"523","XA",1,"L","N"
"524","XB",4,"M","N"
"525","PF",3,"M","N"
"526","01",3,"L","O"
"527","CB",1,"L","N"
"528","XA",1,"L","N"
"529","IB",4,"M","N"
"530","CB",2,"L","O"
"531","DP",3,"L","O"
"532","XA",3,"L","O"
"533","XA",1,"L","N"
"534","XA",2,"L","N"
"535","XB",5,"M","O"
"536","JD",6,"M","O"
"537","PM",2,"L","N"
"538","XB",4,"M","N"
"539","XA",2,"L","N"
"540","XA",2,"L","N"
"541","XA",1,"L","N"
"543","XB",5,"M","O"
