"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"32882","XB",5,"M","O"
"32883","XA",1,"L","N"
"32884","XA",3,"L","O"
"32885","XB",5,"M","N"
"32886","XB",4,"M","N"
"32887","CB",2,"L","O"
"32888","01",2,"L","O"
"32889","XA",1,"L","N"
"32890","XA",2,"L","N"
"32891","XA",1,"L","N"
"32892","XA",3,"L","O"
"32893","CY",1,"L","N"
"32894","CY",1,"L","N"
"32895","XA",1,"L","N"
"32896","XA",3,"L","O"
"32897","XA",1,"L","N"
"32898","XB",5,"M","O"
"32899","XA",1,"L","N"
"32900","DP",3,"L","O"
"32901","XA",3,"L","O"
"32902","CB",2,"L","O"
"32903","FI",3,"M","N"
"32904","XA",2,"L","N"
"32905","XB",5,"M","O"
"32906","CY",1,"L","N"
"32907","XA",1,"L","N"
"32908","01",3,"L","O"
"32909","XA",2,"L","N"
"32910","01",2,"L","O"
"32911","CY",1,"L","N"
"32912","XB",5,"M","O"
"32913","XB",4,"M","N"
"32914","XB",5,"M","N"
"32915","FE",5,"M","O"
"32916","XB",5,"M","O"
"32917","XB",4,"M","N"
"32918","XB",5,"M","O"
"32919","XA",1,"L","N"
"32920","XA",1,"L","N"
"32921","DP",3,"L","O"
"32922","CB",2,"L","N"
"32923","XA",1,"L","N"
"32924","XB",4,"M","N"
"32925","XB",4,"M","N"
"32926","XB",5,"M","O"
"32927","FE",3,"M","N"
"32928","XA",1,"L","N"
"32929","01",6,"M","N"
"32931","DP",3,"L","N"
"32932","PF",5,"M","O"
"32933","XB",4,"M","N"
"32934","XB",5,"M","N"
"32935","XB",5,"M","O"
"32936","XB",5,"M","O"
"32937","CB",2,"L","O"
"32938","CB",2,"L","O"
"32939","FE",5,"M","O"
"32940","XB",5,"M","O"
"32941","XB",4,"M","N"
"32942","PF",4,"M","N"
"32943","CY",1,"L","N"
"32944","XA",3,"L","O"
"32945","CB",2,"L","O"
"32946","XA",3,"L","O"
"32947","XB",5,"M","O"
"32948","XA",3,"L","O"
"32949","XA",3,"L","O"
"32950","CB",1,"L","N"
"32951","XA",3,"L","O"
"32952","XA",3,"L","N"
"32953","FH",5,"M","N"
"32954","PF",4,"M","N"
"32955","XB",4,"M","N"
"32956","01",4,"M","N"
"32957","XA",1,"L","N"
"32958","CB",1,"L","N"
"32959","JD",6,"M","N"
"32960","XB",5,"M","O"
"32961","DP",3,"L","O"
"32962","CB",1,"L","N"
"32963","CB",1,"L","N"
"32965","XA",1,"L","N"
"32966","XA",1,"L","N"
"32967","XA",1,"L","N"
"32968","XA",1,"L","N"
"32969","CB",2,"L","O"
"32970","XA",3,"L","O"
"32971","XB",5,"M","O"
"32972","CB",2,"L","O"
"32973","XA",2,"L","N"
"32974","CB",2,"L","O"
"32975","XA",2,"L","N"
"32976","FI",5,"M","O"
"32977","CB",2,"L","O"
"32978","CB",1,"L","N"
"32979","XA",2,"L","N"
"32980","XA",2,"L","N"
"32981","XB",4,"M","N"
"32982","XA",1,"L","N"
"32983","XA",1,"L","N"
"32984","FN",4,"M","N"
"32985","JD",6,"M","O"
"32986","XA",1,"L","N"
"32987","DP",3,"L","O"
"32988","XA",1,"L","N"
"32989","CB",2,"L","O"
"32990","DP",3,"L","O"
"32991","CB",2,"L","O"
"32992","XA",1,"L","N"
"32993","XB",5,"M","O"
"32996","CB",2,"L","O"
"32997","XB",4,"M","N"
"32998","DP",3,"L","O"
"32999","XA",3,"L","O"
"33000","PM",3,"L","N"
"33001","XA",1,"L","N"
"33002","PF",4,"M","N"
"33003","XB",4,"M","N"
"33004","XB",4,"M","N"
"33005","XB",5,"M","O"
"33007","XA",2,"L","N"
"33008","01",2,"L","O"
"33009","CY",1,"L","N"
"33011","XB",4,"M","N"
"33012","XA",1,"L","N"
"33013","FH",6,"M","O"
"33015","XA",3,"L","N"
"33016","XA",3,"L","O"
"33017","XA",1,"L","N"
"33018","XA",3,"L","O"
"33019","XA",2,"L","N"
"33020","XA",3,"L","O"
"33021","XA",1,"L","N"
"33022","XA",1,"L","N"
"33023","FN",3,"M","N"
"33024","XA",3,"L","O"
"33025","XA",1,"L","N"
"33026","XA",3,"L","N"
"33027","XB",5,"M","O"
"33028","XB",4,"M","N"
"33029","05",3,"L","N"
"33030","CB",1,"L","N"
"33031","IB",5,"M","N"
"33033","IB",6,"M","N"
"33034","XA",1,"L","N"
"33035","XA",2,"L","N"
"33036","XA",1,"L","N"
"33037","XB",4,"M","N"
"33038","XA",1,"L","N"
"33039","XA",1,"L","N"
"33040","XB",4,"M","N"
"33041","XA",1,"L","N"
"33042","XB",5,"M","O"
"33043","XB",4,"M","N"
"33044","JD",6,"M","N"
"33045","XA",3,"L","O"
"33046","XA",1,"L","N"
"33047","XA",3,"L","N"
"33048","CY",1,"L","N"
"33049","CB",2,"L","O"
"33050","XA",3,"L","O"
"33051","XB",5,"M","O"
"33052","XB",4,"M","N"
"33054","01",2,"L","O"
"33055","PM",3,"L","N"
"33056","CB",2,"L","O"
"33057","IB",4,"M","N"
"33058","CB",1,"L","N"
"33059","XA",3,"L","O"
"33060","XA",3,"L","N"
"33061","FH",6,"M","O"
"33062","XA",1,"L","N"
"33063","CY",1,"L","N"
"33064","XB",5,"M","O"
"33065","XA",3,"L","O"
"33066","XB",4,"M","N"
"33067","XB",5,"M","O"
"33068","JD",6,"M","N"
"33069","XA",1,"L","N"
"33070","XB",5,"M","O"
"33071","XA",3,"L","N"
"33072","XA",1,"L","N"
"33073","XA",1,"L","N"
"33074","DP",3,"L","O"
"33075","XB",4,"M","N"
"33076","JD",6,"M","N"
"33077","XA",1,"L","N"
"33078","CB",1,"L","N"
"33079","CB",2,"L","O"
"33080","XB",5,"M","O"
"33081","XA",1,"L","N"
"33082","CB",1,"L","N"
"33084","XA",3,"L","O"
"33085","DP",3,"L","O"
"33086","DP",3,"L","O"
"33087","XA",2,"L","N"
"33088","XB",5,"M","O"
"33089","XB",4,"M","N"
"33090","DP",3,"L","O"
"33091","DP",3,"L","N"
"33092","01",2,"L","O"
"33093","XA",2,"L","N"
"33094","IB",6,"M","N"
"33095","XB",5,"M","O"
"33096","PF",2,"M","N"
"33097","XB",4,"M","N"
"33098","XA",1,"L","N"
"33099","XA",1,"L","N"
"33102","XB",5,"M","O"
"33103","JC",6,"M","N"
"33104","IB",6,"M","N"
"33105","XB",5,"M","O"
"33106","XA",2,"L","N"
"33107","XB",4,"M","N"
"33108","JD",6,"M","N"
"33109","FN",3,"M","N"
"33110","IB",3,"M","N"
"33111","XA",1,"L","N"
"33112","CB",2,"L","O"
"33113","XA",2,"L","N"
"33114","CD",1,"L","N"
"33115","CB",2,"L","O"
"33117","XA",1,"L","N"
"33118","PF",5,"M","O"
"33119","XA",3,"L","O"
"33120","XA",2,"L","N"
"33122","XA",2,"L","N"
"33123","FH",4,"M","N"
"33124","XA",3,"L","O"
"33125","PF",4,"M","N"
"33126","XA",1,"L","N"
"33127","XA",2,"L","N"
"33128","FN",3,"M","N"
"33129","CY",1,"L","N"
"33130","FI",4,"M","N"
"33131","XA",1,"L","N"
"33132","XA",3,"L","O"
"33133","XA",3,"L","N"
"33134","XA",1,"L","N"
"33135","JD",6,"M","N"
"33136","PF",4,"M","N"
"33137","CB",1,"L","N"
"33138","XB",5,"M","O"
"33139","IB",6,"M","N"
"33140","DP",3,"L","O"
"33141","DP",3,"L","N"
"33142","CB",2,"L","O"
"33143","XA",1,"L","N"
"33144","PF",5,"M","O"
"33145","PD",3,"L","O"
"33146","XA",3,"L","O"
"33147","JD",6,"M","N"
"33148","XA",1,"L","N"
"33150","XB",5,"M","O"
"33151","XA",3,"L","O"
"33152","XA",1,"L","N"
"33153","XA",2,"L","N"
"33154","XA",1,"L","N"
"33155","CY",1,"L","N"
"33156","01",3,"L","O"
"33157","XA",1,"L","N"
"33158","PK",3,"L","O"
"33159","XA",1,"L","N"
"33160","FH",6,"M","O"
"33161","XB",5,"M","N"
"33162","XB",5,"M","O"
"33163","XB",5,"M","O"
"33164","XA",2,"L","N"
"33165","CB",2,"L","O"
"33166","XB",4,"M","N"
"33168","01",4,"M","O"
"33169","XB",5,"M","O"
"33171","XB",5,"M","O"
"33172","01",6,"M","N"
"33173","XA",1,"L","N"
"33174","XA",2,"L","N"
"33175","XA",2,"L","N"
"33176","XA",1,"L","N"
"33177","01",5,"M","O"
"33178","FH",5,"M","N"
"33179","PK",1,"L","N"
"33181","XA",1,"L","N"
"33182","XA",1,"L","N"
"33183","XB",5,"M","O"
"33184","01",2,"L","O"
"33186","XB",4,"M","N"
"33187","XA",3,"L","O"
"33188","XA",2,"L","N"
"33190","XA",1,"L","N"
"33191","XA",2,"L","N"
"33192","XB",5,"M","N"
"33193","XA",1,"L","N"
"33194","XA",2,"L","N"
"33195","XB",4,"M","N"
"33196","IB",2,"M","N"
"33197","XA",1,"L","N"
"33198","XB",4,"M","N"
"33199","XB",5,"M","O"
"33200","XA",2,"L","N"
"33201","XA",1,"L","N"
"33202","CB",1,"L","N"
"33203","XB",5,"M","O"
"33204","XA",1,"L","N"
"33205","XA",3,"L","O"
"33206","XB",4,"M","N"
"33207","CB",1,"L","N"
"33208","XA",2,"L","N"
"33209","XA",2,"L","N"
"33210","IB",3,"M","N"
"33211","XA",3,"L","O"
"33212","CY",1,"L","N"
"33213","IB",2,"M","N"
"33214","XA",3,"L","O"
"33215","XA",2,"L","N"
"33216","01",2,"L","O"
"33217","XB",4,"M","N"
"33218","DP",3,"L","O"
"33219","XA",3,"L","N"
"33220","XA",1,"L","N"
"33221","XB",5,"M","O"
"33222","IB",6,"M","N"
"33223","FI",4,"M","N"
"33224","XB",4,"M","N"
"33225","01",3,"L","O"
"33226","PK",1,"L","N"
"33227","XA",3,"L","O"
"33228","XA",3,"L","N"
"33229","XA",1,"L","N"
"33230","XA",2,"L","N"
"33231","CB",1,"L","N"
"33232","XA",2,"L","N"
"33233","XB",4,"M","N"
"33234","XB",4,"M","N"
"33235","CB",2,"L","O"
"33236","DP",3,"L","N"
"33237","XA",1,"L","N"
"33238","FH",4,"M","N"
"33239","CY",1,"L","N"
"33240","XB",4,"M","N"
"33241","XA",2,"L","N"
"33242","DP",3,"L","O"
"33243","XB",4,"M","N"
"33244","CB",2,"L","O"
"33245","XA",1,"L","N"
"33246","XA",3,"L","O"
"33247","XB",5,"M","O"
"33248","PF",5,"M","O"
"33249","XB",4,"M","N"
"33250","CB",1,"L","N"
"33251","XA",3,"L","O"
"33252","DP",3,"L","O"
"33254","XA",2,"L","N"
"33256","XA",3,"L","O"
"33257","CB",1,"L","N"
"33259","01",3,"L","O"
"33260","XB",4,"M","N"
"33261","XA",1,"L","N"
"33262","01",3,"L","O"
"33263","DP",3,"L","O"
"33264","XA",2,"L","N"
"33265","XA",1,"L","N"
"33266","CB",1,"L","N"
"33268","XA",1,"L","N"
"33269","XA",2,"L","N"
"33270","XA",1,"L","N"
"33271","XB",4,"M","N"
"33272","XA",3,"L","O"
"33273","XA",2,"L","N"
"33274","XB",4,"M","N"
"33275","XA",2,"L","N"
"33276","DP",3,"L","O"
"33277","FH",6,"M","N"
"33278","CB",2,"L","O"
"33279","PF",3,"M","N"
"33280","XB",5,"M","O"
"33281","XB",4,"M","N"
"33282","XA",2,"L","N"
"33283","XA",1,"L","N"
"33284","CY",1,"L","N"
"33285","XA",1,"L","N"
"33286","CY",1,"L","N"
"33287","XA",1,"L","N"
"33288","XA",2,"L","N"
"33289","XB",5,"M","O"
"33290","FN",5,"M","O"
"33291","XA",2,"L","N"
"33293","XB",5,"M","O"
"33294","FI",4,"M","N"
"33295","CD",2,"L","O"
"33296","XA",2,"L","N"
"33297","FE",5,"M","O"
"33298","XB",5,"M","O"
"33299","CY",1,"L","N"
"33300","FN",3,"M","N"
"33301","XA",1,"L","N"
"33302","FN",4,"M","N"
"33303","CY",1,"L","N"
"33304","DP",3,"L","N"
"33305","XA",2,"L","N"
"33306","CB",2,"L","O"
"33307","XA",2,"L","N"
"33308","XA",1,"L","N"
"33309","XA",1,"L","N"
"33310","CB",1,"L","N"
"33311","XA",2,"L","N"
"33312","CB",1,"L","N"
"33313","XA",1,"L","N"
"33314","XA",3,"L","N"
"33315","FE",3,"M","N"
"33316","XA",1,"L","N"
"33319","XA",3,"L","O"
"33320","FI",2,"M","N"
"33321","XA",3,"L","O"
"33322","XA",1,"L","N"
"33323","01",6,"M","O"
"33324","DP",3,"L","O"
"33325","XB",4,"M","N"
"33326","CB",1,"L","N"
"33327","XA",1,"L","N"
"33328","CB",2,"L","O"
"33329","XA",2,"L","N"
"33330","XA",1,"L","N"
"33331","XA",2,"L","N"
"33332","DP",3,"L","O"
"33333","XA",1,"L","N"
"33334","XA",3,"L","O"
"33335","XA",2,"L","N"
"33336","XA",1,"L","N"
"33337","XA",2,"L","N"
"33338","XA",3,"L","O"
"33339","FH",4,"M","N"
"33341","PF",5,"M","O"
"33342","01",2,"L","O"
"33343","XB",5,"M","O"
"33344","XB",5,"M","O"
"33345","FH",6,"M","N"
"33346","XA",1,"L","N"
"33347","XA",2,"L","N"
"33348","XA",3,"L","O"
"33349","XA",1,"L","N"
"33350","CB",1,"L","N"
"33351","FH",4,"M","N"
"33353","FE",4,"M","N"
"33354","XB",4,"M","N"
"33355","FI",5,"M","O"
"33356","FH",4,"M","N"
"33357","XA",1,"L","N"
"33358","01",6,"M","N"
"33359","XA",3,"L","O"
"33360","XA",1,"L","N"
"33361","01",6,"M","O"
"33362","XA",1,"L","N"
"33363","XA",2,"L","N"
"33364","XA",2,"L","N"
"33365","DP",3,"L","N"
"33367","XA",1,"L","N"
"33368","XA",2,"L","N"
"33369","CY",1,"L","N"
"33370","XB",4,"M","N"
"33371","XA",1,"L","N"
"33372","XA",3,"L","O"
"33373","PF",5,"M","O"
"33374","XA",2,"L","N"
"33375","XA",1,"L","N"
"33376","XA",2,"L","N"
"33377","XB",5,"M","O"
"33378","XA",3,"L","O"
"33379","XB",4,"M","N"
"33380","XA",3,"L","O"
"33381","XA",1,"L","N"
"33382","XB",4,"M","N"
"33383","XA",3,"L","O"
"33384","DP",3,"L","O"
"33385","XA",2,"L","N"
"33386","XA",3,"L","O"
"33387","PF",4,"M","N"
"33388","XA",2,"L","N"
"33390","FN",4,"M","N"
"33391","FI",1,"M","N"
"33393","XA",1,"L","N"
"33394","XB",5,"M","O"
"33395","01",3,"L","O"
"33396","XB",4,"M","N"
"33397","DP",3,"L","N"
"33398","CB",1,"L","N"
"33399","XA",3,"L","O"
"33400","XB",5,"M","O"
"33401","XA",1,"L","N"
"33403","CB",2,"L","O"
"33404","XB",5,"M","O"
"33405","XA",2,"L","N"
"33407","XA",2,"L","N"
"33408","XA",1,"L","N"
"33409","XB",5,"M","O"
"33410","FN",4,"M","N"
"33411","XA",2,"L","N"
"33412","01",3,"L","O"
"33413","XA",1,"L","N"
"33415","XA",2,"L","N"
"33416","XA",2,"L","N"
"33418","XA",1,"L","N"
"33419","01",3,"L","O"
"33421","XA",1,"L","N"
"33422","XA",2,"L","N"
"33423","XB",5,"M","O"
"33424","XB",4,"M","N"
"33425","CY",1,"L","N"
"33426","XA",1,"L","N"
"33427","XB",4,"M","N"
"33428","XA",1,"L","N"
"33429","CY",1,"L","N"
"33430","XB",5,"M","O"
"33431","XB",5,"M","O"
"33432","XB",5,"M","O"
"33433","XA",2,"L","N"
"33434","XA",1,"L","N"
"33435","DP",3,"L","O"
"33436","XA",3,"L","O"
"33437","CB",2,"L","O"
"33438","XA",1,"L","N"
"33439","XB",5,"M","N"
"33441","XA",1,"L","N"
"33443","XB",5,"M","O"
"33444","XA",2,"L","N"
"33445","XB",4,"M","N"
"33446","XA",1,"L","N"
"33447","XA",2,"L","N"
"33448","FH",5,"M","N"
"33449","XB",4,"M","N"
"33450","CB",2,"L","O"
"33451","XB",5,"M","O"
"33452","CB",1,"L","N"
"33453","01",1,"L","N"
"33454","JD",6,"M","O"
"33455","XA",1,"L","N"
"33456","XA",1,"L","N"
"33457","XA",1,"L","N"
"33458","FH",6,"M","O"
"33459","XB",4,"M","N"
"33460","01",3,"L","O"
"33461","XA",3,"L","O"
"33462","FN",4,"M","N"
"33463","XA",1,"L","N"
"33464","01",6,"M","N"
"33465","XA",2,"L","N"
"33466","XA",2,"L","N"
"33467","XA",1,"L","N"
"33468","XA",1,"L","N"
"33469","XA",3,"L","O"
"33470","CB",1,"L","N"
"33471","CY",1,"L","N"
"33472","XA",1,"L","N"
"33473","01",3,"L","O"
"33474","XA",2,"L","N"
"33475","XA",1,"L","N"
"33477","XB",4,"M","N"
"33478","XB",5,"M","N"
"33479","XA",1,"L","N"
"33480","01",3,"L","N"
"33481","XA",2,"L","N"
"33482","FI",4,"M","N"
"33483","CB",2,"L","N"
"33484","FH",2,"M","N"
"33486","DP",3,"L","O"
"33487","XA",2,"L","N"
"33488","XA",1,"L","N"
"33489","XA",3,"L","O"
"33490","XB",5,"M","N"
"33491","XB",4,"M","N"
"33492","XA",2,"L","N"
"33493","XA",1,"L","N"
"33494","PF",2,"M","N"
"33495","CY",1,"L","N"
"33496","FH",3,"M","N"
"33497","XA",1,"L","N"
"33499","CB",2,"L","O"
"33500","PF",2,"M","N"
"33501","XB",4,"M","N"
"33502","XA",3,"L","N"
"33503","FH",5,"M","N"
"33504","XB",4,"M","N"
"33505","XA",3,"L","O"
"33506","XA",1,"L","N"
"33507","DP",3,"L","O"
"33508","CB",2,"L","O"
"33509","PL",5,"M","O"
"33510","JD",6,"M","N"
"33511","XA",2,"L","N"
"33512","JD",6,"M","N"
"33513","XB",5,"M","O"
"33514","XA",2,"L","N"
"33515","XA",1,"L","N"
"33516","FH",6,"M","N"
"33517","05",3,"L","N"
"33518","01",3,"L","O"
"33519","XA",3,"L","O"
"33520","FI",2,"M","N"
"33521","CB",1,"L","N"
"33522","XB",5,"M","O"
"33523","XA",1,"L","N"
"33524","CB",2,"L","O"
"33525","XA",1,"L","N"
"33526","XA",1,"L","N"
"33527","01",3,"L","O"
"33528","XA",1,"L","N"
"33529","XA",1,"L","N"
"33530","XA",1,"L","N"
"33531","XA",3,"L","O"
"33532","XB",4,"M","N"
"33533","CB",2,"L","O"
"33534","XB",5,"M","O"
"33535","XA",1,"L","N"
"33536","XB",4,"M","N"
"33537","XA",1,"L","N"
"33538","XB",5,"M","N"
"33539","FH",3,"M","N"
"33540","XA",2,"L","N"
"33541","XA",3,"L","O"
"33542","XB",4,"M","N"
"33543","XB",4,"M","N"
"33544","XA",1,"L","N"
"33545","XB",4,"M","N"
"33546","IB",6,"M","N"
"33547","XA",1,"L","N"
"33548","XA",1,"L","N"
"33549","JD",6,"M","N"
"33550","CD",2,"L","O"
"33551","01",6,"M","O"
"33552","XA",2,"L","N"
"33553","CB",2,"L","O"
"33554","XA",1,"L","N"
"33555","JD",6,"M","N"
"33556","XB",5,"M","O"
"33557","XA",1,"L","N"
"33558","XA",2,"L","N"
"33559","XA",2,"L","N"
"33560","CB",2,"L","O"
"33561","FI",1,"M","N"
"33562","CB",2,"L","O"
"33563","FH",3,"M","N"
"33564","CB",1,"L","N"
"33565","CB",2,"L","O"
"33566","JD",6,"M","N"
"33568","XB",4,"M","N"
"33569","XA",2,"L","N"
"33570","01",2,"L","O"
"33571","XA",1,"L","N"
"33572","FH",5,"M","N"
"33573","XB",4,"M","N"
"33574","XA",1,"L","N"
"33575","DP",3,"L","O"
"33576","01",6,"M","O"
"33577","XB",5,"M","O"
"33578","XA",2,"L","N"
"33579","XA",1,"L","N"
"33580","JD",6,"M","N"
"33581","PF",3,"M","N"
"33582","DP",3,"L","O"
"33583","XB",4,"M","N"
"33584","XB",5,"M","O"
"33585","IB",4,"M","N"
"33586","DP",3,"L","O"
"33587","01",3,"L","O"
"33588","XA",2,"L","N"
"33589","CB",1,"L","N"
"33590","XA",1,"L","N"
"33591","XB",4,"M","N"
"33592","PF",3,"M","N"
"33593","CB",1,"L","N"
"33594","01",2,"L","O"
"33595","XA",1,"L","N"
"33596","XA",3,"L","O"
"33597","01",2,"L","O"
"33598","XB",4,"M","N"
"33599","XB",4,"M","N"
"33600","FH",4,"M","N"
"33601","01",3,"L","O"
"33602","CB",1,"L","N"
"33603","XA",1,"L","N"
"33604","01",2,"L","O"
"33605","XA",1,"L","N"
"33606","XA",1,"L","N"
"33608","XA",2,"L","N"
"33609","DP",3,"L","O"
"33610","XA",2,"L","N"
"33611","XA",1,"L","N"
"33612","XA",1,"L","N"
"33613","XB",4,"M","N"
"33614","XB",5,"M","O"
"33615","CB",2,"L","O"
"33616","05",3,"L","N"
"33617","XB",4,"M","N"
"33618","XB",5,"M","O"
"33619","XB",5,"M","O"
"33620","XA",1,"L","N"
"33621","XB",4,"M","N"
"33622","XA",1,"L","N"
"33623","XA",3,"L","O"
"33624","FH",6,"M","N"
"33625","FH",2,"M","N"
"33627","PF",3,"M","N"
"33628","CY",1,"L","N"
"33629","01",3,"L","N"
"33630","XA",2,"L","N"
"33631","XA",3,"L","N"
"33632","XB",5,"M","O"
"33633","01",3,"L","O"
"33635","XA",1,"L","N"
"33636","XA",1,"L","N"
"33637","CB",1,"L","N"
"33638","XA",1,"L","N"
"33639","XB",5,"M","O"
"33640","XA",3,"L","O"
"33641","FE",4,"M","N"
"33642","XB",4,"M","N"
"33643","01",3,"L","O"
"33644","JD",6,"M","N"
"33645","XA",1,"L","N"
"33646","XA",3,"L","O"
"33647","XB",5,"M","O"
"33648","XB",5,"M","N"
"33649","XB",5,"M","N"
"33650","XA",3,"L","O"
"33651","XA",2,"L","N"
"33652","XA",1,"L","N"
"33653","XA",1,"L","N"
"33654","XB",5,"M","O"
"33655","DP",3,"L","O"
"33656","XB",4,"M","N"
"33657","CB",2,"L","N"
"33658","XA",1,"L","N"
"33659","PF",4,"M","N"
"33660","DP",3,"L","N"
"33662","XB",4,"M","N"
"33663","XA",2,"L","N"
"33664","JC",6,"M","N"
"33665","PK",2,"L","N"
"33666","XA",1,"L","N"
"33667","XA",1,"L","N"
"33668","CB",2,"L","N"
"33669","CB",2,"L","O"
"33670","XA",2,"L","N"
"33671","XA",1,"L","N"
"33672","XA",2,"L","N"
"33673","PF",4,"M","N"
"33674","XA",3,"L","O"
"33675","XB",5,"M","O"
"33677","XB",4,"M","N"
"33678","XA",2,"L","N"
"33679","XA",2,"L","N"
"33680","XA",2,"L","N"
"33681","XB",5,"M","O"
"33684","CB",2,"L","O"
"33685","FH",6,"M","N"
"33686","XA",1,"L","N"
"33687","XA",1,"L","N"
"33689","01",3,"L","O"
"33690","XA",3,"L","O"
"33691","XA",3,"L","O"
"33692","DP",3,"L","O"
"33693","JD",6,"M","O"
"33694","CB",1,"L","N"
"33695","JD",6,"M","N"
"33696","XA",1,"L","N"
"33697","XA",2,"L","N"
"33698","CB",2,"L","O"
"33699","XA",1,"L","N"
"33701","FH",3,"M","N"
"33702","XA",1,"L","N"
"33703","FH",5,"M","N"
"33704","FI",3,"M","N"
"33705","CY",1,"L","N"
"33706","XA",1,"L","N"
"33707","XA",2,"L","N"
"33708","FE",3,"M","N"
"33709","XB",5,"M","O"
"33710","PF",3,"M","N"
"33712","XA",2,"L","N"
"33714","PF",4,"M","N"
"33715","XA",3,"L","O"
"33716","XB",4,"M","N"
"33717","XB",5,"M","N"
"33718","XA",3,"L","O"
"33720","XA",2,"L","N"
"33721","XB",5,"M","O"
"33722","CB",1,"L","N"
"33724","01",3,"L","O"
"33725","XA",3,"L","O"
"33726","XA",3,"L","O"
"33727","XB",4,"M","N"
"33728","IB",2,"M","N"
"33729","CY",1,"L","N"
"33730","XA",1,"L","N"
"33731","CB",2,"L","O"
"33732","DP",3,"L","O"
"33733","XA",1,"L","N"
"33734","JD",6,"M","N"
"33735","01",3,"L","O"
"33736","UA",0,"L","N"
"33737","XA",1,"L","N"
"33738","XA",1,"L","N"
"33739","DP",3,"L","N"
"33740","FI",2,"M","N"
"33741","CB",1,"L","N"
"33742","XB",4,"M","N"
"33743","01",4,"M","N"
"33744","XA",1,"L","N"
"33745","XA",3,"L","O"
"33746","DP",3,"L","O"
"33747","XB",4,"M","N"
"33748","XB",5,"M","O"
"33749","XA",1,"L","N"
"33750","PF",5,"M","O"
"33751","CY",1,"L","N"
"33752","XA",1,"L","N"
"33753","CB",1,"L","N"
"33754","XB",5,"M","O"
"33755","01",2,"L","O"
"33756","XA",1,"L","N"
"33757","CY",1,"L","N"
"33758","XA",2,"L","N"
"33759","XA",1,"L","N"
"33760","XA",1,"L","N"
"33762","XB",5,"M","O"
"33763","XA",1,"L","N"
"33764","XA",2,"L","N"
"33765","JD",6,"M","N"
"33766","XA",1,"L","N"
"33767","FE",4,"M","N"
"33768","XB",4,"M","N"
"33769","CB",1,"L","N"
"33770","DP",3,"L","O"
"33772","XA",2,"L","N"
"33773","XB",5,"M","O"
"33774","FH",6,"M","O"
"33775","IB",4,"M","N"
"33776","PF",5,"M","O"
"33777","XA",2,"L","N"
"33778","XA",1,"L","N"
"33779","XA",3,"L","O"
"33780","XA",3,"L","O"
"33781","CY",1,"L","N"
"33782","FN",3,"M","N"
"33783","XA",1,"L","N"
"33784","XB",5,"M","O"
"33785","XA",2,"L","N"
"33786","01",6,"M","O"
"33787","FH",4,"M","N"
"33788","XB",5,"M","O"
"33789","XB",4,"M","N"
"33790","XA",1,"L","N"
"33791","CY",1,"L","N"
"33792","XA",1,"L","N"
"33793","XB",4,"M","N"
"33795","XB",4,"M","N"
"33796","XB",4,"M","N"
"33797","XA",1,"L","N"
"33798","XA",2,"L","N"
"33799","CB",1,"L","N"
"33800","XA",1,"L","N"
"33801","JD",6,"M","N"
"33802","IB",3,"M","N"
"33803","JD",6,"M","N"
"33804","DP",3,"L","O"
"33805","CB",1,"L","N"
"33806","XA",1,"L","N"
"33807","DP",3,"L","O"
"33808","XA",1,"L","N"
"33809","PF",5,"M","O"
"33810","XA",2,"L","N"
"33811","01",3,"L","N"
"33812","FH",5,"M","N"
"33813","XB",5,"M","O"
"33814","DP",3,"L","O"
"33816","XB",4,"M","N"
"33817","01",2,"L","N"
"33818","XA",2,"L","N"
"33819","JD",6,"M","N"
"33820","CY",1,"L","N"
"33821","PM",3,"L","N"
"33822","XA",2,"L","N"
"33823","XA",3,"L","N"
"33824","XA",2,"L","N"
"33825","IB",2,"M","N"
"33826","XA",3,"L","O"
"33827","CB",2,"L","O"
"33828","XA",2,"L","N"
"33829","PF",5,"M","O"
"33830","XA",1,"L","N"
"33831","XB",4,"M","N"
"33832","XA",1,"L","N"
"33833","01",6,"M","O"
"33835","XA",1,"L","N"
"33836","XA",1,"L","N"
"33837","FI",5,"M","O"
"33838","XB",5,"M","N"
"33839","CB",1,"L","N"
"33840","FE",5,"M","O"
"33841","XB",5,"M","O"
"33842","IB",6,"M","N"
"33843","XA",3,"L","N"
"33844","XB",5,"M","O"
"33845","01",6,"M","O"
"33846","JD",6,"M","N"
"33847","XA",3,"L","O"
"33848","XB",4,"M","N"
"33849","XB",5,"M","O"
"33850","XA",3,"L","O"
"33851","XA",1,"L","N"
"33852","XA",2,"L","N"
"33853","XA",2,"L","N"
"33854","XB",4,"M","N"
"33855","XB",4,"M","N"
"33856","JD",6,"M","N"
"33857","XA",1,"L","N"
"33858","CB",2,"L","O"
"33859","XA",1,"L","N"
"33860","XB",4,"M","N"
"33861","XA",3,"L","N"
"33862","XA",1,"L","N"
"33863","XA",1,"L","N"
"33864","XB",4,"M","N"
"33865","CB",1,"L","N"
"33866","XA",3,"L","N"
"33867","XB",4,"M","N"
"33868","XA",3,"L","O"
"33869","FH",6,"M","O"
"33870","PF",2,"M","N"
"33871","IB",2,"M","N"
"33872","XB",4,"M","N"
"33873","FH",5,"M","N"
"33874","XA",2,"L","N"
"33875","CB",1,"L","N"
"33876","DP",3,"L","O"
